ID,fname,DOB,Cage,Condition,Sex,BW,Date_Injection_1,Date_Perfusion,Notes,Staining_Batch,Drug,Chronic_flag,Acute_flag,Spontaneous_flag
C4,20240227_15_52_19_OP_C4D_Destripe_DONE,9/1/2023,277641,Chronic_Morphine,M,32.5,1/30/2024,2/6/2024,,1,Morphine,TRUE,TRUE,FALSE
C5,20240403_17_39_38_OP_C5U_Destripe_DONE,9/1/2023,277641,Chronic_Morphine,M,32,1/30/2024,2/6/2024,,2,Morphine,TRUE,TRUE,FALSE
C6,20240403_17_19_10_OP_C6U_Destripe_DONE,9/1/2023,277641,Chronic_Morphine,M,32,1/30/2024,2/6/2024,bad perfusion,2,Morphine,TRUE,TRUE,FALSE
C7,20240403_18_37_53_OP_C7W_Destripe_DONE,9/1/2023,284026,Chronic_Morphine,M,29.2,1/30/2024,2/6/2024,,2,Morphine,TRUE,TRUE,FALSE
C8,20240403_18_58_24_OP_C8X_Destripe_DONE,9/1/2023,284026,Chronic_Morphine,M,31,1/30/2024,2/6/2024,,2,Morphine,TRUE,TRUE,FALSE
S1,20240227_23_20_32_OP_S1I_Destripe_DONE,11/9/2023,287527,Saline,F,21.6,1/30/2024,2/6/2024,,1,Saline,FALSE,FALSE,FALSE
S2,20240227_23_00_56_OP_S2J_Destripe_DONE,11/9/2023,287528,Saline,M,27,1/30/2024,2/6/2024,bad perfusion,1,Saline,FALSE,FALSE,FALSE
S3,20240228_10_52_10_OP_S3L_Destripe_DONE,11/9/2023,287528,Saline,M,27.3,1/30/2024,2/6/2024,,1,Saline,FALSE,FALSE,FALSE
S4,20240228_11_13_31_OP_S4K_Destripe_DONE,8/14/2023,267319,Saline,M,37,1/30/2024,2/6/2024,,1,Saline,FALSE,FALSE,FALSE
S5,20240403_10_59_33_OP_S5M_Destripe_DONE,9/1/2023,277640,Saline,M,31,1/30/2024,2/6/2024,,2,Saline,FALSE,FALSE,FALSE
S6,20240403_11_19_31_OP_S6N_Destripe_DONE,9/1/2023,277640,Saline,M,28,1/30/2024,2/6/2024,,2,Saline,FALSE,FALSE,FALSE
S7,20240403_12_02_34_OP_S7O_Destripe_DONE,11/9/2023,287526,Saline,M,26.5,1/30/2024,2/6/2024,,2,Saline,FALSE,FALSE,FALSE
S8,20240403_12_21_49_OP_S8P_Destripe_DONE,11/9/2023,287526,Saline,M,26,1/30/2024,2/6/2024,,2,Saline,FALSE,FALSE,FALSE
CoW2,20240604_18_19_47_OP_CoW2G_Destripe_DONE,3/24/2024,313952,Withdrawal_Cocaine,M,19.1,5/2/2024,5/10/2024,,3,Cocaine,TRUE,FALSE,FALSE
CoW4,20240604_17_58_26_OP_CoW4H_Destripe_DONE,3/31/2024,309720,Withdrawal_Cocaine,F,19.2,5/2/2024,5/10/2024,,3,Cocaine,TRUE,FALSE,FALSE
CoW5,20240604_22_34_31_OP_CoW5I_Destripe_DONE,3/31/2024,309720,Withdrawal_Cocaine,F,15.6,5/2/2024,5/10/2024,,3,Cocaine,TRUE,FALSE,FALSE
CoW6,20240604_22_56_24_OP_CoW6J_Destripe_DONE,3/31/2024,309720,Withdrawal_Cocaine,F,13.8,5/2/2024,5/10/2024,,3,Cocaine,TRUE,FALSE,FALSE
CoW7,20240605_00_02_43_OP_CoW7K_Destripe_DONE,3/31/2024,309720,Withdrawal_Cocaine,F,15.7,5/2/2024,5/10/2024,,3,Cocaine,TRUE,FALSE,FALSE
CoW8,20240604_23_41_43_OP_CoW8L_Destripe_DONE,3/31/2024,309720,Withdrawal_Cocaine,F,15.6,5/2/2024,5/10/2024,,3,Cocaine,TRUE,FALSE,FALSE
MoW1,20240525_14_22_32_OP_MoW1A_Destripe_DONE,3/24/2024,313952,Withdrawal_Morphine,M,20.5,5/2/2024,5/10/2024,,3,Morphine,TRUE,FALSE,FALSE
MoW2,20240525_14_43_05_OP_MoW2B_Destripe_DONE,3/24/2024,313952,Withdrawal_Morphine,M,19.3,5/2/2024,5/10/2024,,3,Morphine,TRUE,FALSE,FALSE
MoW3,20240525_15_50_17_OP_MoW3C_Destripe_DONE,3/24/2024,313952,Withdrawal_Morphine,M,19.3,5/2/2024,5/10/2024,,3,Morphine,TRUE,FALSE,FALSE
MoW4,20240525_15_29_14_OP_MoW4D_Destripe_DONE,3/31/2024,309720,Withdrawal_Morphine,F,21.6,5/2/2024,5/10/2024,,3,Morphine,TRUE,FALSE,FALSE
MoW5,20240525_16_35_44_OP_MoW5E_Destripe_DONE,3/31/2024,309720,Withdrawal_Morphine,F,20.3,5/2/2024,5/10/2024,,3,Morphine,TRUE,FALSE,FALSE
MoW6,20240525_16_56_20_OP_MoW6F_Destripe_DONE,3/31/2024,309720,Withdrawal_Morphine,F,18.2,5/2/2024,5/10/2024,,3,Morphine,TRUE,FALSE,FALSE
MoW7,20240525_18_15_29_OP_MoW7G_Destripe_DONE,3/31/2024,309720,Withdrawal_Morphine,F,15.3,5/2/2024,5/10/2024,,3,Morphine,TRUE,FALSE,FALSE
MoW8,20240525_17_49_43_OP_MoW8H_Destripe_DONE,3/31/2024,309720,Withdrawal_Morphine,F,17.3,5/2/2024,5/10/2024,,3,Morphine,TRUE,FALSE,FALSE
MoW21_1,20241224_15_46_04_OP_MoW21_1A_Destripe_DONE,9/14/2024,343744,Withdrawal_Morphine_21,M,20.1,11/1/2024,11/27/2024,,4,Morphine,TRUE,FALSE,TRUE
MoW21_2,20241224_15_26_34_OP_MoW21_2B_Destripe_DONE,9/14/2024,343744,Withdrawal_Morphine_21,M,26.1,11/1/2024,11/27/2024,,4,Morphine,TRUE,FALSE,TRUE
MoW21_3,20241224_17_03_18_OP_MoW21_3C_Destripe_DONE,9/14/2024,343746,Withdrawal_Morphine_21,M,22.1,11/1/2024,11/27/2024,,4,Morphine,TRUE,FALSE,TRUE
MoW21_4,20241224_17_23_14_OP_MoW21_4D_Destripe_DONE,9/14/2024,343749,Withdrawal_Morphine_21,F,17.3,11/1/2024,11/27/2024,,4,Morphine,TRUE,FALSE,TRUE
MoW21_5,20241224_18_24_14_OP_MoW21_5E_Destripe_DONE,9/14/2024,343749,Withdrawal_Morphine_21,F,17.5,11/1/2024,11/27/2024,,4,Morphine,TRUE,FALSE,TRUE
MoW21_6,20241224_18_03_56_OP_MoW21_6E_Destripe_DONE,9/14/2024,343747,Withdrawal_Morphine_21,F,17.3,11/1/2024,11/27/2024,,4,Morphine,TRUE,FALSE,TRUE
MoC21_1,20241226_14_02_31_OP_MoC21_1G_Destripe_DONE,9/14/2024,343744,Chronic_Morphine_21,M,24.2,11/1/2024,11/27/2024,,4,Morphine,TRUE,TRUE,TRUE
MoC21_2,20241226_13_42_30_OP_MoC21_2H_Destripe_DONE,9/14/2024,343746,Chronic_Morphine_21,M,22.8,11/1/2024,11/27/2024,,4,Morphine,TRUE,TRUE,TRUE
MoC21_3,20241226_14_45_35_OP_MoC21_3I_Destripe_DONE,9/14/2024,343746,Chronic_Morphine_21,M,27,11/1/2024,11/27/2024,,4,Morphine,TRUE,TRUE,TRUE
MoC21_4,20241226_15_06_43_OP_MoC21_4J_Destripe_DONE,9/14/2024,343749,Chronic_Morphine_21,F,15.8,11/1/2024,11/27/2024,,4,Morphine,TRUE,TRUE,TRUE
MoC21_5,20241226_15_52_10_OP_MoC21_5K_Destripe_DONE,9/14/2024,343747,Chronic_Morphine_21,F,18.8,11/1/2024,11/27/2024,,4,Morphine,TRUE,TRUE,TRUE
MoC21_6,20241226_16_12_18_OP_MoC21_6L_Destripe_DONE,9/14/2024,343747,Chronic_Morphine_21,F,18.6,11/1/2024,11/27/2024,,4,Morphine,TRUE,TRUE,TRUE
