acronym,name
PT,Parataenial thalamic nucleus
Xi,Xiphoid thalamic nucleus
ANS,Accessory neuosecretory nuclei
RE,Reuniens area
Rh,Rhomboid thalamic nucleus
CM,Central medial thalamic nucleus
PC,Paracentral thalamic nucleus
CL,Centrolateral thalamic nucleus
PaF,Parafascicular thalamic nucleus
Rt,Reticular nucleus (prethalamus)
IGL,Intergeniculate childlet
PrG,Pregeniculate nucleus of the prethalamus
SubG,Subgeniculate nucleus of the prethalamus
MHb,Medial habenular nucleus
LHb,Lateral habenular nucleus
SOR,"Supraoptic nucleus, retrochiasmatic part"
ESO,Episupraoptic nucleus
ASO,Accessory supraoptic group
PVH,"Paraventricular hypothalamic nucleus, anterior part"
PaV,"Paraventricular hypothalamic nucleus, ventral part"
Arc,Arcuate hypothalamic nucleus
AVPe,Anteroventral periventricular nucleus
DA,Dorsal hypothalamic area
DM,Dorsomedial hypothalamic nucleus
MnPO,Median preoptic nucleus
MPA,Medial preoptic area
VOLT,Vascular organ of the lamina terminalis
PDPO,Posterodorsal preoptic nucleus
PS,Parastrial nucleus
Pe,Periventricular hypothalamic nucleus
SPa ,Subparaventricular zone of the hypothalamus
SCh,Suprachiasmatic nucleus
SFO,Subfornical organ
VMPO,Ventromedidal preoptic nucleus
VLPO,Ventrolateral preoptic nucleus
AHN,Anterior hypothalamic nucleus
MBO,Mammillary body
MPO,Medial preoptic nucleus
PMD,"Premamillary nucleus, dorsal part"
PMV,"Premamillary nucleus, ventral part"
PVHd,"Paraventricular hypothalamic nucleus, descending division"
VMH,Ventromedial hypothalamic nucleus
PHA,Posterior hypothalamic area
LH,Lateral hypothalamic area
LPO,Lateral preoptic area
PTe,Paraterete nucleus
PSTh,Parasubthalamic nucleus
RCh,Retrochiasmatic area
STh,Subthalamic nucleus
SubI,Subincertal nucleus
MTu,Medial tuberal nucleus
PeF,Perifornical nucleus
VLi,Ventral linear nucleus of the thalamus
ZI,Zona incerta
SCs,"Superior colliculus, sensory related"
CIC,Central nucleus of the inferior colliculus
DCIC,Dorsal cortex of the inferior colliculus
ECIC,External cortex of the inferior colliculus
Com,Commissural nucleus of the inferior colliculus
BIC,Nucleus of the brachium of the inferior colliculus
Sag,Sagulum nucleus
PBG,Parabigeminal nucleus
MiTg,Microcellular tegmental nucleus
SCO,Subcommissural organ 
mRt,Mesencephalic reticular formation
p1Rt,prosomere 1 reticular formation
isRt,Isthmic reticular formation
PaR,Pararubral nucleus
SNR,"Substantia nigra, reticular part"
VTA,Ventral tegmental area
RRF,Retrorubral field
SCm,"Superior colliculus, motor related"
DMPAG,Dorsomedial periaqueductal gray
LPAG,Lateral periaqueductal gray
PlPAG,Pleoglial periaqueductal gray
DLPAG,Dorsolateral periaqueductal gray
VLPAG,Ventrolateral periaqueductal gray
p1PAG,prosomere 1 periaqueductal gray
Lth,Lithoid nucleus
PrC,Precommissural nucleus
InC,Interstitial nucleus of Cajal
Dk,Nucleus of Darkschewitsch
Su3C,Supraoculomotor cap
Su3,Supraoculomotor periaqueductal gray
APT,Anterior pretectal nucleus
MPT,Medial pretectal area
ReC,Retrocommissural nucleus
OT,Nucleus of the optic tract
PCom,Nucleus of the posterior commissure
OPT,Olivary pretectal nucleus
PPT,Posterior pretectal nucleus
RPF,Retroparafascicular nucleus
PrCnF,Precuneiform area
RPC,"Red nucleus, parvicellular part"
RMC,"Red nucleus, magnocellular part"
MA3,Medial accessory oculomotor nucleus
3PC,"Oculomotor nucleus, parvicellular part"
PrEW,Pre-Edinger-Westphal nucleus
4Sh,Trochlear nucleus shell region
Pa4,Paratrochlear nucleus
VTg,Ventral tegmental nucleus
ATg,Anterior tegmental nucleus
DT,Dorsal terminal nucleus
MT,Medial terminal nucleus
SNL,"Substantia nigra, lateral part"
SNC,"Substantia nigra, compact part"
SPTg,Subpeduncular tegmental nucleus
IF,Interfascicular nucleus
IP,Interpeduncular nucleus
RLi ,Rostral linear nucleus (midbrain)
CLi,Caudal linear nucleus of the raphÈ
DR,Dorsal raphÈ nucleus
