ID,fname,DOB,Cage,Condition,Sex,BW,Drug1,Drug2,Injection_Day1,Injection_Day2,Date_Perfusion,Notes,Staining_Batch,AB_per_brain
SM5,20240611_12_06_53_OP_TRAP_SM5E_Destripe_DONE,11/1/2023,304015,Sal-AcM,M,32,Saline,Acute_Morphine,5/3/2024,5/3/2024,5/11/2024,,2,1.75
CM4,20240611_11_33_29_OP_TRAP_CM4F_Destripe_DONE,11/1/2023,304016,AcM-AcC,M,32,Acute_Morphine,Cocaine,5/3/2024,5/3/2024,5/11/2024,,2,1.75
CM5,20240611_13_04_31_OP_TRAP_CM5G_Destripe_DONE,11/1/2023,304016,AcM-AcC,M,32,Acute_Morphine,Cocaine,5/3/2024,5/3/2024,5/11/2024,,2,1.75
MW1,20240611_13_35_20_OP_TRAP_MW1H_Destripe_DONE,11/1/2023,304016,AcM-WDM,M,32,Acute_Morphine,Morphine_withdrawal,5/3/2024,5/3/2024,5/11/2024,,2,1.75
MW2,20240611_16_02_12_OP_TRAP_MW2I_Destripe_DONE,11/1/2023,304016,AcM-WDM,M,32,Acute_Morphine,Morphine_withdrawal,5/3/2024,5/3/2024,5/11/2024,,2,1.75
MW3,20240611_15_30_04_OP_TRAP_MW3J_Destripe_DONE,11/1/2023,304016,AcM-WDM,M,32,Acute_Morphine,Morphine_withdrawal,5/3/2024,5/3/2024,5/11/2024,,2,1.75
MW4,20240611_17_04_52_OP_TRAP_MW4K_Destripe_DONE,2/21/2023,303484,AcM-WDM,M,32,Acute_Morphine,Morphine_withdrawal,5/3/2024,5/3/2024,5/11/2024,,2,1.75
MW5,20240611_17_35_21_OP_TRAP_MW5L_Destripe_DONE,2/21/2023,303484,AcM-WDM,M,32,Acute_Morphine,Morphine_withdrawal,5/3/2024,5/3/2024,5/11/2024,,2,1.75
MW6,20240611_18_27_46_OP_TRAP_MW6M_Destripe_DONE,2/21/2023,303484,AcM-WDM,M,32,Acute_Morphine,Morphine_withdrawal,5/3/2024,5/3/2024,5/11/2024,,2,1.75
AC1,20240822_13_43_04_OPTRAP_AC1_Destripe_DONE,5/8/2024,316556,AcM-ChM,M,23,Acute_Morphine,Chronic_Morphine,7/23/2024,7/23/2024,7/30/2024,,3,1.75
AC4,20240822_15_16_56_OPTRAP_AC4_Destripe_DONE,5/8/2024,316556,AcM-ChM,F,18,Acute_Morphine,Chronic_Morphine,7/23/2024,7/23/2024,7/30/2024,,3,1.75
AC3,20240822_15_46_12_OPTRAP_AC3_Destripe_DONE,5/8/2024,316556,AcM-ChM,M,24,Acute_Morphine,Chronic_Morphine,7/23/2024,7/23/2024,7/30/2024,,3,1.75
AC6,20241028_10_52_19_OPTRAP_AC6_Destripe_DONE,7/2/2024,324255,AcM-ChM,M,23,Acute_Morphine,Chronic_Morphine,8/29/2024,8/29/2024,9/5/2024,,3,1.75
AC8,20241028_13_10_05_OPTRAP_AC8_Destripe_DONE,7/2/2024,324255,AcM-ChM,F,18,Acute_Morphine,Chronic_Morphine,8/29/2024,8/29/2024,9/5/2024,,3,1.75
AC7,20241028_11_21_50_OPTRAP_AC7_Destripe_DONE,7/2/2024,324255,AcM-ChM,M,24,Acute_Morphine,Chronic_Morphine,8/29/2024,8/29/2024,9/5/2024,,3,1.75
AC9,20241028_12_38_47_OPTRAP_AC9_Destripe_DONE,7/2/2024,324255,AcM-ChM,F,17,Acute_Morphine,Chronic_Morphine,8/29/2024,8/29/2024,9/5/2024,,3,1.75
